event_id,name,start_time,end_time,description,venue,city,category,ticket_classes,duration,genre,price
11,Business Networking Summit,2024-03-15 09:00:00,2024-03-15 18:00:00,Connect with industry leaders and expand your professional network.,Conference Hall,Tuzla,business,Standard Pass:50.0 BAM,Executive Pass:100.0 BAM,9,Business,50.00 BAM
12,Religious Teachings Seminar,2024-03-20 17:00:00,2024-03-20 20:00:00,Deepen your understanding of spiritual teachings in a peaceful setting.,Mesdzid Sahat Kula,Zenica,religious,Free Entry:0.0 BAM,,3,Religious,0.00 BAM
13,Artisan Craft Fair,2024-03-25 11:00:00,2024-03-25 16:00:00,Explore and purchase handmade crafts created by local artisans.,Old Bazaar,Tuzla,cultural,Free Entry:0.0 BAM,,5,Arts & Crafts,0.00 BAM
14,Technology Startup Showcase,2024-03-30 14:00:00,2024-03-30 18:00:00,Witness innovative solutions and ideas from emerging tech startups.,Innovation Hub,Zenica,business,Visitor Pass:15.0 BAM,Investor Pass:50.0 BAM,4,Technology,15.00 BAM
15,Business Workshop: Financial Planning,2024-04-05 15:00:00,2024-04-05 17:00:00,Learn effective financial planning strategies for your business.,Dom Armije,Mostar,business,Workshop Pass:30.0 BAM,2,Business,30.00 BAM
16,Cultural Festival: Folk Dance Showcase,2024-04-10 16:30:00,2024-04-10 20:00:00,Experience the rich traditions of Bosnian folk dance and music.,Old Bascarsija Square,Sarajevo,cultural,Free Entry:0.0 BAM,,3,Traditional,0.00 BAM
17,Medical Conference: Advances in Healthcare,2024-04-15 09:00:00,2024-04-15 18:00:00,Explore the latest advancements and breakthroughs in healthcare.,Zenica Conference Center,Zenica,conference,Conference Pass:40.0 BAM,Medical Professional Pass:80.0 BAM,9,Healthcare,40.00 BAM
18,Outdoor Yoga Retreat,2024-04-20 08:00:00,2024-04-22 17:00:00,Reconnect with nature and rejuvenate your mind and body.,Neretva Riverbank,Mostar,health,Yoga Retreat Pass:60.0 BAM,VIP Experience:100.0 BAM,27,Wellness,60.00 BAM
19,Eco-Friendly Art Workshop,2024-04-25 13:00:00,2024-04-25 15:30:00,Create art using sustainable and eco-friendly materials.,Green Art Studio,Tuzla,art,Art Workshop Pass:20.0 BAM,2,Visual Arts,20.00 BAM
20,Sports Expo: Fitness Gear Showcase,2024-04-30 10:00:00,2024-04-30 16:00:00,Discover the latest fitness gear and innovations in the sports industry.,Sarajevo Arena,Sarajevo,sports,Expo Pass:15.0 BAM,6,Sports,15.00 BAM
21,Culinary Workshop: Bosnian Delicacies,2024-05-05 18:00:00,2024-05-05 20:30:00,Learn to prepare traditional Bosnian dishes with expert chefs.,Cooking Studio,Sarajevo,culinary,Cooking Workshop Pass:25.0 BAM,2,Culinary,25.00 BAM
22,Music Festival: Balkan Beats Night,2024-05-10 21:00:00,2024-05-11 02:00:00,Experience the vibrant rhythms and beats of Balkan music.,Open-Air Amphitheater,Mostar,concert,General Admission:25.0 BAM,Dance Zone Pass:40.0 BAM,5,World Music,25.00 BAM
23,Student Symposium: Future Innovations,2024-05-15 14:00:00,2024-05-15 17:00:00,Showcasing research and innovations by Bosnian students.,University Hall,Tuzla,education,Student Pass:0.0 BAM,,3,Innovation,0.00 BAM
24,City Marathon: Run for a Cause,2024-05-20 07:30:00,2024-05-20 13:00:00,Participate in a city-wide marathon supporting local charities.,City Center,Sarajevo,sports,Marathon Pass:30.0 BAM,VIP Runner:50.0 BAM,18,Sports,30.00 BAM
25,Green Living Seminar,2024-05-25 16:00:00,2024-05-25 18:00:00,Learn practical tips and ideas for sustainable living.,Eco Center,Zenica,educational,Free Entry:0.0 BAM,,2,Environmental,0.00 BAM
26,International Food Fair,2024-05-30 12:00:00,2024-05-30 20:00:00,Indulge in a global culinary experience with diverse cuisines.,Bridges Square,Mostar,party,General Admission:15.0 BAM,Tasting Pass:35.0 BAM,8,Culinary,15.00 BAM
27,Art and Science Symposium,2024-06-05 09:00:00,2024-06-05 17:00:00,Explore the intersection of art and science with renowned experts.,National Museum,Sarajevo,conference,Conference Pass:40.0 BAM,Art Enthusiast Pass:60.0 BAM,8,Art & Science,40.00 BAM
28,Fashion Show: Bosnian Designs Showcase,2024-06-10 20:00:00,2024-06-10 22:30:00,Admire the latest trends and designs from Bosnian fashion designers.,Fashion Arena,Tuzla,fashion,General Admission:20.0 BAM,VIP Front Row:50.0 BAM,2,Fashion,20.00 BAM
29,Summer Music Festival,2024-06-15 17:00:00,2024-06-15 23:00:00,Celebrate the summer with live music performances from top artists.,Open-Air Stage,Sarajevo,concert,General Admission:25.0 BAM,Dance Zone Pass:40.0 BAM,6,Music,25.00 BAM
30,Youth Leadership Workshop,2024-06-20 14:30:00,2024-06-20 17:30:00,Empower the youth with leadership skills and personal development.,Youth Center,Mostar,workshop,Workshop Pass:15.0 BAM,2,Youth Development,15.00 BAM
31,Summer Music Festival,2024-06-25 17:00:00,2024-06-25 23:00:00,Celebrate the summer with live music performances from top artists.,Open-Air Stage,Mostar,concert,General Admission:25.0 BAM,Dance Zone Pass:40.0 BAM,6,Music,25.00 BAM
32,Youth Leadership Workshop,2024-07-01 14:30:00,2024-07-01 17:30:00,Empower the youth with leadership skills and personal development.,Youth Center,Sarajevo,workshop,Workshop Pass:15.0 BAM,2,Youth Development,15.00 BAM
33,Business Networking Summit,2024-07-07 09:00:00,2024-07-07 18:00:00,Connect with industry leaders and expand your professional network.,Conference Hall,Mostar,business,Standard Pass:50.0 BAM,Executive Pass:100.0 BAM,9,Business,50.00 BAM
34,Religious Teachings Seminar,2024-07-13 17:00:00,2024-07-13 20:00:00,Deepen your understanding of spiritual teachings in a peaceful setting.,Mesdzid Sahat Kula,Tuzla,religious,Free Entry:0.0 BAM,,3,Religious,0.00 BAM
35,Artisan Craft Fair,2024-07-19 11:00:00,2024-07-19 16:00:00,Explore and purchase handmade crafts created by local artisans.,Old Bazaar,Zenica,cultural,Free Entry:0.0 BAM,,5,Arts & Crafts,0.00 BAM
36,Technology Startup Showcase,2024-07-25 14:00:00,2024-07-25 18:00:00,Witness innovative solutions and ideas from emerging tech startups.,Innovation Hub,Sarajevo,business,Visitor Pass:15.0 BAM,Investor Pass:50.0 BAM,4,Technology,15.00 BAM
37,Business Workshop: Financial Planning,2024-07-31 15:00:00,2024-07-31 17:00:00,Learn effective financial planning strategies for your business.,Dom Armije,Mostar,business,Workshop Pass:30.0 BAM,2,Business,30.00 BAM
38,Cultural Festival: Folk Dance Showcase,2024-08-06 16:30:00,2024-08-06 20:00:00,Experience the rich traditions of Bosnian folk dance and music.,Old Bascarsija Square,Sarajevo,cultural,Free Entry:0.0 BAM,,3,Traditional,0.00 BAM
39,Medical Conference: Advances in Healthcare,2024-08-12 09:00:00,2024-08-12 18:00:00,Explore the latest advancements and breakthroughs in healthcare.,Zenica Conference Center,Zenica,conference,Conference Pass:40.0 BAM,Medical Professional Pass:80.0 BAM,9,Healthcare,40.00 BAM
40,Outdoor Yoga Retreat,2024-08-18 08:00:00,2024-08-20 17:00:00,Reconnect with nature and rejuvenate your mind and body.,Neretva Riverbank,Sarajevo,health,Yoga Retreat Pass:60.0 BAM,VIP Experience:100.0 BAM,27,Wellness,60.00 BAM
41,Eco-Friendly Art Workshop,2024-08-24 13:00:00,2024-08-24 15:30:00,Create art using sustainable and eco-friendly materials.,Green Art Studio,Tuzla,art,Art Workshop Pass:20.0 BAM,2,Visual Arts,20.00 BAM
42,Sports Expo: Fitness Gear Showcase,2024-08-30 10:00:00,2024-08-30 16:00:00,Discover the latest fitness gear and innovations in the sports industry.,Sarajevo Arena,Sarajevo,sports,Expo Pass:15.0 BAM,6,Sports,15.00 BAM
43,Culinary Workshop: Bosnian Delicacies,2024-09-05 18:00:00,2024-09-05 20:30:00,Learn to prepare traditional Bosnian dishes with expert chefs.,Cooking Studio,Sarajevo,culinary,Cooking Workshop Pass:25.0 BAM,2,Culinary,25.00 BAM
44,Music Festival: Balkan Beats Night,2024-09-11 21:00:00,2024-09-12 02:00:00,Experience the vibrant rhythms and beats of Balkan music.,Open-Air Amphitheater,Mostar,concert,General Admission:25.0 BAM,Dance Zone Pass:40.0 BAM,5,World Music,25.00 BAM
45,Student Symposium: Future Innovations,2024-09-17 14:00:00,2024-09-17 17:00:00,Showcasing research and innovations by Bosnian students.,University Hall,Tuzla,education,Student Pass:0.0 BAM,,3,Innovation,0.00 BAM
46,City Marathon: Run for a Cause,2024-09-23 07:30:00,2024-09-23 13:00:00,Participate in a city-wide marathon supporting local charities.,City Center,Sarajevo,sports,Marathon Pass:30.0 BAM,VIP Runner:50.0 BAM,18,Sports,30.00 BAM
47,Green Living Seminar,2024-09-29 16:00:00,2024-09-29 18:00:00,Learn practical tips and ideas for sustainable living.,Eco Center,Zenica,educational,Free Entry:0.0 BAM,,2,Environmental,0.00 BAM
48,International Food Fair,2024-10-05 12:00:00,2024-10-05 20:00:00,Indulge in a global culinary experience with diverse cuisines.,Bridges Square,Mostar,party,General Admission:15.0 BAM,Tasting Pass:35.0 BAM,8,Culinary,15.00 BAM
49,Art and Science Symposium,2024-10-11 09:00:00,2024-10-11 17:00:00,Explore the intersection of art and science with renowned experts.,National Museum,Sarajevo,conference,Conference Pass:40.0 BAM,Art Enthusiast Pass:60.0 BAM,8,Art & Science,40.00 BAM
50,Fashion Show: Bosnian Designs Showcase,2024-10-17 20:00:00,2024-10-17 22:30:00,Witness the creativity and elegance of Bosnian fashion designers.,Fashion Plaza,Sarajevo,fashion,General Admission:20.0 BAM,VIP Access:40.0 BAM,2,Fashion,20.00 BAM
51,Hiking Adventure: Mountain Trails Exploration,2024-10-23 09:00:00,2024-10-23 16:00:00,Embark on a thrilling hiking adventure through scenic mountain trails.,Jahorina Mountain,Sarajevo,health,Adventure Pass:25.0 BAM,Hiker Deluxe:50.0 BAM,7,Outdoor,25.00 BAM
52,Movie Night: Classic Film Marathon,2024-10-29 18:30:00,2024-10-29 23:30:00,Enjoy an evening of classic cinema with a marathon of timeless films.,City Cinema,Sarajevo,film,General Admission:10.0 BAM,Movie Buff Pass:20.0 BAM,5,Film,10.00 BAM
53,Entrepreneurship Summit 2024,2024-11-04 10:00:00,2024-11-04 18:00:00,Gain insights and strategies from successful entrepreneurs.,Innovation Hub,Mostar,business,Summit Pass:60.0 BAM,Entrepreneur VIP:100.0 BAM,8,Business,60.00 BAM
54,Photography Workshop: Capturing Moments,2024-11-10 14:00:00,2024-11-10 17:00:00,Enhance your photography skills and learn the art of capturing moments.,Creative Studio,Zenica,art,Workshop Pass:30.0 BAM,Photographer's Kit:50.0 BAM,3,Visual Arts,30.00 BAM
55,Wellness Retreat: Mind and Body Renewal,2024-11-16 08:00:00,2024-11-18 17:00:00,Nurture your well-being with a rejuvenating wellness retreat.,Bjelasnica Mountain Resort,Sarajevo,health,Retreat Pass:80.0 BAM,VIP Wellness Experience:120.0 BAM,33,Wellness,80.00 BAM
56,Book Signing Event: Bestselling Authors,2024-11-22 17:30:00,2024-11-22 20:30:00,Meet and greet bestselling authors at an exclusive book signing event.,City Library,Sarajevo,literature,Free Entry:0.0 BAM,,3,Literature,0.00 BAM
57,Science Fair: Young Innovators Showcase,2024-11-28 13:00:00,2024-11-28 16:00:00,Explore innovative projects and ideas presented by young scientists.,Science Center,Tuzla,education,Free Entry:0.0 BAM,,3,Science & Technology,0.00 BAM
58,Salsa Night at The Lounge,2024-12-04 21:00:00,2024-12-05 01:00:00,Immerse yourself in the energetic rhythms of salsa with a night of dancing.,The Lounge,Sarajevo,party,General Admission:20.0 BAM,Salsa Enthusiast Pass:40.0 BAM,4,Dance,20.00 BAM
59,Craft Beer Tasting: Local Brews Showcase,2024-12-10 18:00:00,2024-12-10 20:30:00,Indulge in the flavors of local craft beers with a tasting experience.,Beer Garden,Sarajevo,culinary,Tasting Pass:15.0 BAM,Beer Connoisseur Pass:30.0 BAM,2,Culinary,15.00 BAM
60,Art Therapy Workshop: Expressive Creations,2024-12-16 15:30:00,2024-12-16 17:30:00,Discover the healing power of art through expressive and creative activities.,Art Therapy Studio,Mostar,health,Workshop Pass:25.0 BAM,Art Therapist VIP:50.0 BAM,2,Wellness,25.00 BAM
61,Outdoor Yoga Retreat,2024-12-22 08:00:00,2024-12-24 17:00:00,Reconnect with nature and rejuvenate your mind and body.,Neretva Riverbank,Sarajevo,health,Yoga Retreat Pass:60.0 BAM,VIP Experience:100.0 BAM,27,Wellness,60.00 BAM
62,Eco-Friendly Art Workshop,2024-12-28 13:00:00,2024-12-28 15:30:00,Create art using sustainable and eco-friendly materials.,Green Art Studio,Tuzla,art,Art Workshop Pass:20.0 BAM,2,Visual Arts,20.00 BAM
63,Sports Expo: Fitness Gear Showcase,2025-01-03 10:00:00,2025-01-03 16:00:00,Discover the latest fitness gear and innovations in the sports industry.,Sarajevo Arena,Sarajevo,sports,Expo Pass:15.0 BAM,6,Sports,15.00 BAM
64,Culinary Workshop: Bosnian Delicacies,2025-01-09 18:00:00,2025-01-09 20:30:00,Learn to prepare traditional Bosnian dishes with expert chefs.,Cooking Studio,Sarajevo,culinary,Cooking Workshop Pass:25.0 BAM,2,Culinary,25.00 BAM
65,Music Festival: Balkan Beats Night,2025-01-15 21:00:00,2025-01-16 02:00:00,Experience the vibrant rhythms and beats of Balkan music.,Open-Air Amphitheater,Mostar,concert,General Admission:25.0 BAM,Dance Zone Pass:40.0 BAM,5,World Music,25.00 BAM
66,Student Symposium: Future Innovations,2025-01-21 14:00:00,2025-01-21 17:00:00,Showcasing research and innovations by Bosnian students.,University Hall,Tuzla,education,Student Pass:0.0 BAM,,3,Innovation,0.00 BAM
67,City Marathon: Run for a Cause,2025-01-27 07:30:00,2025-01-27 13:00:00,Participate in a city-wide marathon supporting local charities.,City Center,Sarajevo,sports,Marathon Pass:30.0 BAM,VIP Runner:50.0 BAM,18,Sports,30.00 BAM
68,Green Living Seminar,2025-02-02 16:00:00,2025-02-02 18:00:00,Learn practical tips and ideas for sustainable living.,Eco Center,Zenica,educational,Free Entry:0.0 BAM,,2,Environmental,0.00 BAM
69,International Food Fair,2025-02-08 12:00:00,2025-02-08 20:00:00,Indulge in a global culinary experience with diverse cuisines.,Bridges Square,Mostar,party,General Admission:15.0 BAM,Tasting Pass:35.0 BAM,8,Culinary,15.00 BAM
70,Art and Science Symposium,2025-02-14 09:00:00,2025-02-14 17:00:00,Explore the intersection of art and science with renowned experts.,National Museum,Sarajevo,conference,Conference Pass:40.0 BAM,Art Enthusiast Pass:60.0 BAM,8,Art & Science,40.00 BAM
71,Fashion Show: Bosnian Designs Showcase,2025-02-20 20:00:00,2025-02-20 22:30:00,Witness the creativity and elegance of Bosnian fashion designers.,Fashion Plaza,Sarajevo,fashion,General Admission:20.0 BAM,VIP Access:40.0 BAM,2,Fashion,20.00 BAM
72,Hiking Adventure: Mountain Trails Exploration,2025-02-26 09:00:00,2025-02-26 16:00:00,Embark on a thrilling hiking adventure through scenic mountain trails.,Jahorina Mountain,Sarajevo,health,Adventure Pass:25.0 BAM,Hiker Deluxe:50.0 BAM,7,Outdoor,25.00 BAM
73,Movie Night: Classic Film Marathon,2025-03-04 18:30:00,2025-03-04 23:30:00,Enjoy an evening of classic cinema with a marathon of timeless films.,City Cinema,Sarajevo,film,General Admission:10.0 BAM,Movie Buff Pass:20.0 BAM,5,Film,10.00 BAM
74,Entrepreneurship Summit 2025,2025-03-10 10:00:00,2025-03-10 18:00:00,Gain insights and strategies from successful entrepreneurs.,Innovation Hub,Mostar,business,Summit Pass:60.0 BAM,Entrepreneur VIP:100.0 BAM,8,Business,60.00 BAM
75,Photography Workshop: Capturing Moments,2025-03-16 14:00:00,2025-03-16 17:00:00,Enhance your photography skills and learn the art of capturing moments.,Creative Studio,Zenica,art,Workshop Pass:30.0 BAM,Photographer's Kit:50.0 BAM,3,Visual Arts,30.00 BAM
76,Wellness Retreat: Mind and Body Renewal,2025-03-22 08:00:00,2025-03-24 17:00:00,Nurture your well-being with a rejuvenating wellness retreat.,Bjelasnica Mountain
77,Book Signing Event: Bestselling Authors,2025-03-28 17:30:00,2025-03-28 20:30:00,Meet and greet bestselling authors at an exclusive book signing event.,City Library,Sarajevo,literature,Free Entry:0.0 BAM,,3,Literature,0.00 BAM
78,Science Fair: Young Innovators Showcase,2025-04-03 13:00:00,2025-04-03 16:00:00,Explore innovative projects and ideas presented by young scientists.,Science Center,Tuzla,education,Free Entry:0.0 BAM,,3,Science & Technology,0.00 BAM
79,Salsa Night at The Lounge,2025-04-09 21:00:00,2025-04-10 01:00:00,Immerse yourself in the energetic rhythms of salsa with a night of dancing.,The Lounge,Sarajevo,party,General Admission:20.0 BAM,Salsa Enthusiast Pass:40.0 BAM,4,Dance,20.00 BAM
80,Craft Beer Tasting: Local Brews Showcase,2025-04-15 18:00:00,2025-04-15 20:30:00,Indulge in the flavors of local craft beers with a tasting experience.,Beer Garden,Sarajevo,culinary,Tasting Pass:15.0 BAM,Beer Connoisseur Pass:30.0 BAM,2,Culinary,15.00 BAM
81,Art Therapy Workshop: Expressive Creations,2025-04-21 15:30:00,2025-04-21 17:30:00,Discover the healing power of art through expressive and creative activities.,Art Therapy Studio,Mostar,health,Workshop Pass:25.0 BAM,Art Therapist VIP:50.0 BAM,2,Wellness,25.00 BAM
82,Outdoor Concert: Bosnian Folk Music,2025-04-27 19:00:00,2025-04-27 22:30:00,Immerse yourself in the traditional sounds of Bosnian folk music.,Open-Air Amphitheater,Sarajevo,concert,General Admission:25.0 BAM,Front Row Experience:50.0 BAM,3,Folk Music,25.00 BAM
83,Technology Expo: Future Innovations,2025-05-03 10:00:00,2025-05-03 16:00:00,Explore cutting-edge technology and future innovations.,Tech Park,Zenica,technology,Expo Pass:20.0 BAM,Tech Enthusiast Pass:40.0 BAM,6,Technology,20.00 BAM
84,Language Learning Workshop: Bosnian Basics,2025-05-09 16:00:00,2025-05-09 18:30:00,Embark on a language-learning journey with Bosnian basics.,Language Center,Tuzla,education,Workshop Pass:15.0 BAM,Language Explorer Pass:25.0 BAM,2,Language & Culture,15.00 BAM
85,Live Comedy Show: Laughter Therapy,2025-05-15 20:00:00,2025-05-15 22:30:00,Enjoy an evening of laughter and entertainment with live comedy.,Comedy Club,Sarajevo,comedy,General Admission:20.0 BAM,VIP Laughter Pass:40.0 BAM,3,Comedy,20.00 BAM
86,Chess Tournament: Grandmaster Challenge,2025-05-21 13:00:00,2025-05-21 18:00:00,Witness intense chess matches and challenge a grandmaster.,Chess Club,Mostar,sports,Observer Pass:10.0 BAM,Chess Enthusiast Pass:20.0 BAM,5,Chess,10.00 BAM
87,Tea Tasting Workshop: Global Flavors,2025-05-27 17:30:00,2025-05-27 19:30:00,Explore the diverse world of teas with a global tasting workshop.,Tea House,Sarajevo,culinary,Tasting Pass:15.0 BAM,Tea Connoisseur Pass:30.0 BAM,2,Culinary,15.00 BAM
88,Artisan Market: Handcrafted Treasures,2025-06-02 11:00:00,2025-06-02 15:00:00,Discover and shop for unique handcrafted treasures at the artisan market.,Market Square,Zenica,cultural,Free Entry:0.0 BAM,,4,Arts & Crafts,0.00 BAM
89,Startup Pitch Competition,2025-06-08 14:00:00,2025-06-08 17:00:00,Watch innovative startups pitch their ideas to a panel of judges.,Innovation Hub,Sarajevo,business,Free Entry:0.0 BAM,,3,Technology,0.00 BAM
90,Sunset Cruise on the Neretva River,2025-06-14 18:30:00,2025-06-14 21:00:00,Experience a picturesque sunset cruise along the beautiful Neretva River.,River Cruise,Sarajevo,travel,Cruise Pass:35.0 BAM,Exclusive Sunset Experience:60.0 BAM,2,Outdoor,35.00 BAM
91,Artisan Craft Fair,2025-06-20 11:00:00,2025-06-20 16:00:00,Explore and purchase handmade crafts created by local artisans.,Old Bazaar,Tuzla,cultural,Free Entry:0.0 BAM,,5,Arts & Crafts,0.00 BAM
92,Technology Startup Showcase,2025-06-26 14:00:00,2025-06-26 18:00:00,Witness innovative solutions and ideas from emerging tech startups.,Innovation Hub,Zenica,business,Visitor Pass:15.0 BAM,Investor Pass:50.0 BAM,4,Technology,15.00 BAM
93,Business Workshop: Financial Planning,2025-07-02 15:00:00,2025-07-02 17:00:00,Learn effective financial planning strategies for your business.,Dom Armije,Mostar,business,Workshop Pass:30.0 BAM,Financial Planner VIP:50.0 BAM,2,Business,30.00 BAM
94,Cultural Festival: Folk Dance Showcase,2025-07-08 16:30:00,2025-07-08 20:00:00,Experience the rich traditions of Bosnian folk dance and music.,Old Bascarsija Square,Sarajevo,cultural,Free Entry:0.0 BAM,,3,Traditional,0.00 BAM
95,Medical Conference: Advances in Healthcare,2025-07-14 09:00:00,2025-07-14 18:00:00,Explore the latest advancements and breakthroughs in healthcare.,Zenica Conference Center,Zenica,conference,Conference Pass:40.0 BAM,Medical Professional Pass:80.0 BAM,9,Healthcare,40.00 BAM
96,Outdoor Yoga Retreat,2025-07-20 08:00:00,2025-07-22 17:00:00,Reconnect with nature and rejuvenate your mind and body.,Neretva Riverbank,Mostar,health,Yoga Retreat Pass:60.0 BAM,VIP Experience:100.0 BAM,27,Wellness,60.00 BAM
97,Eco-Friendly Art Workshop,2025-07-26 13:00:00,2025-07-26 15:30:00,Create art using sustainable and eco-friendly materials.,Green Art Studio,Sarajevo,art,Art Workshop Pass:20.0 BAM,2,Visual Arts,20.00 BAM
98,Sports Expo: Fitness Gear Showcase,2025-08-01 10:00:00,2025-08-01 16:00:00,Discover the latest fitness gear and innovations in the sports industry.,Sarajevo Arena,Sarajevo,sports,Expo Pass:15.0 BAM,6,Sports,15.00 BAM
99,Culinary Workshop: Bosnian Delicacies,2025-08-07 18:00:00,2025-08-07 20:30:00,Learn to prepare traditional Bosnian dishes with expert chefs.,Cooking Studio,Sarajevo,culinary,Cooking Workshop Pass:25.0 BAM,2,Culinary,25.00 BAM
100,Music Festival: Balkan Beats Night,2025-08-13 21:00:00,2025-08-14 02:00:00,Experience the vibrant rhythms and beats of Balkan music.,Open-Air Amphitheater,Mostar,concert,General Admission:25.0 BAM,Dance Zone Pass:40.0 BAM,5,World Music,25.00 BAM
